BNKS,20200717,4.8,4.84,4.8,4.84,7650
BNL,20200717,0.018,0.018,0.016,0.016,3356850
BNO,20200717,0.066,0.068,0.065,0.067,926903
BNR,20200717,0.078,0.078,0.076,0.076,221446
BOA,20200717,0.22,0.22,0.22,0.22,0
BOC,20200717,0.245,0.25,0.245,0.25,2600
BOE,20200717,0.058,0.059,0.056,0.056,524684
BOL,20200717,0.105,0.105,0.105,0.105,55000
BOND,20200717,28.32,28.32,28.32,28.32,69
BOQ,20200717,6.24,6.28,6.18,6.22,1910960
BOQPE,20200717,99.1,99.4,99.1,99.1,1943
BOT,20200717,0.063,0.065,0.048,0.051,39739040
BPH,20200717,0.017,0.017,0.017,0.017,0
BPP,20200717,0.02,0.022,0.02,0.021,2696887
BPT,20200717,1.5,1.525,1.47,1.515,7575022
BRB,20200717,0.26,0.26,0.25,0.25,172403
BRG,20200717,24.49,24.49,23.88,24.31,213368
BRI,20200717,1.495,1.495,1.495,1.495,0
BRK,20200717,0.005,0.005,0.005,0.005,625000
BRKOA,20200717,0.001,0.001,0.001,0.001,0
BRL,20200717,0.049,0.05,0.049,0.05,189125
BRN,20200717,0.1,0.105,0.1,0.105,3086095
BRU,20200717,0.092,0.092,0.089,0.089,189820
BRV,20200717,0.033,0.033,0.031,0.031,1317593
BRVO,20200717,0.015,0.015,0.015,0.015,2547
BSA,20200717,0.335,0.335,0.335,0.335,63041
BSE,20200717,0.2,0.2,0.185,0.19,348748
BSL,20200717,11.71,11.92,10.99,11.24,3980779
BSM,20200717,0.004,0.004,0.003,0.003,1475000
BSMOC,20200717,0.001,0.001,0.001,0.001,0
BSP,20200717,0.002,0.002,0.002,0.002,0
BSR,20200717,0.013,0.013,0.013,0.013,0
BSX,20200717,0.225,0.235,0.22,0.22,545527
BTC,20200717,0.095,0.095,0.095,0.095,123150
BTH,20200717,0.765,0.785,0.74,0.755,1720056
BTI,20200717,0.83,0.83,0.82,0.82,57051
BUB,20200717,1.025,1.025,1.005,1.015,1752911
BUD,20200717,0.014,0.014,0.013,0.013,1382400
BUG,20200717,0.23,0.23,0.23,0.23,21700
BUX,20200717,0.073,0.073,0.073,0.073,100000
BUY,20200717,0.013,0.013,0.012,0.012,1158257
BVS,20200717,4.42,4.44,4.3,4.38,532436
BWF,20200717,0.325,0.34,0.325,0.34,12181
BWP,20200717,3.92,3.93,3.89,3.92,470229
BWR,20200717,1.4,1.4,1.4,1.4,0
BWX,20200717,3.72,4.435,3.72,4.34,1129495
BXB,20200717,11.14,11.29,11.05,11.29,3925395
BXN,20200717,0.011,0.011,0.011,0.011,0
BYE,20200717,0.165,0.165,0.16,0.165,1283316
BYH,20200717,0.055,0.057,0.055,0.056,475593
BYHO,20200717,0.001,0.001,0.001,0.001,0
BYI,20200717,0.55,0.55,0.55,0.55,1666
C6C,20200717,0.7,0.7,0.7,0.7,974
CAA,20200717,0.115,0.115,0.115,0.115,0
CAD,20200717,0.005,0.005,0.004,0.005,3206000
CADO,20200717,0.001,0.001,0.001,0.001,0
CAE,20200717,0.015,0.015,0.015,0.015,0
CAF,20200717,0.087,0.088,0.087,0.088,125576
CAG,20200717,0.29,0.31,0.285,0.285,92756
CAI,20200717,0.57,0.595,0.56,0.56,1101691
CAJ,20200717,0.215,0.215,0.21,0.21,428389
CAM,20200717,0.78,0.78,0.78,0.78,36200
CAMG,20200717,0.978,0.978,0.978,0.978,15180
CAN,20200717,0.69,0.75,0.595,0.72,4006815
CAP,20200717,0.02,0.02,0.02,0.02,0
CAQ,20200717,0.008,0.008,0.008,0.008,0
CAR,20200717,18.18,18.47,18.12,18.35,923709
CAT,20200717,1.29,1.34,1.255,1.27,147776
CAU,20200717,0.08,0.08,0.076,0.08,277477
CAV,20200717,0.004,0.004,0.004,0.004,250000
CAVOA,20200717,0.001,0.001,0.001,0.001,0
CAY,20200717,0.11,0.12,0.11,0.12,481490
CAZ,20200717,0.035,0.036,0.035,0.036,593084
CBA,20200717,72.78,73.02,72.21,72.6,3329439
CBAPD,20200717,98.4,98.49,98.15,98.15,45462
CBAPE,20200717,102.75,102.82,102.58,102.58,7472
CBAPF,20200717,100.772,100.99,100.632,100.99,17802
CBAPG,20200717,99.9,99.9,99.65,99.65,4642
CBAPH,20200717,100.6,100.75,100.37,100.7,8763
CBAPI,20200717,96.11,96.45,96.1,96.1,13434
CBE,20200717,0.22,0.22,0.22,0.22,0
CBR,20200717,1.5,1.51,1.41,1.475,240988
CBY,20200717,0.135,0.135,0.135,0.135,0
CCA,20200717,0.105,0.105,0.097,0.098,1650709
CCE,20200717,0.001,0.002,0.001,0.001,4000000
CCG,20200717,0.064,0.064,0.064,0.064,0
CCJ,20200717,0.004,0.004,0.004,0.004,0
CCL,20200717,8.7,8.75,8.56,8.64,1036424
CCP,20200717,16.7,17.18,16.48,16.91,820302
CCV,20200717,0.175,0.18,0.17,0.175,26175
CCX,20200717,3.18,3.31,3.1,3.16,705295
CCZ,20200717,0.04,0.04,0.039,0.04,1916617
CCZO,20200717,0.017,0.017,0.017,0.017,50000
CD1,20200717,1,1,1,1,28500
CD2,20200717,1.12,1.12,1.12,1.12,6490
CD3,20200717,1,1,1,1,3125
CDA,20200717,8.16,8.34,8.1,8.29,363021
CDD,20200717,0.22,0.225,0.215,0.22,79045
CDH,20200717,0.002,0.002,0.002,0.002,0
CDM,20200717,0.645,0.675,0.645,0.655,574982
CDP,20200717,3.25,3.25,3.25,3.25,3838
CDT,20200717,0.013,0.014,0.013,0.013,16553115
CDV,20200717,0.69,0.69,0.685,0.69,1985536
CDX,20200717,0.033,0.034,0.032,0.032,4205994
CDXO,20200717,0.01,0.01,0.01,0.01,15000
CDY,20200717,0.135,0.14,0.13,0.14,285779
CE1,20200717,0.004,0.004,0.004,0.004,125000
CEL,20200717,0.22,0.225,0.22,0.22,948112
CEN,20200717,5.37,5.44,5.36,5.42,6390
CETF,20200717,61.7,61.74,61,61.09,2505
CFE,20200717,0.002,0.002,0.002,0.002,0
CFO,20200717,0.044,0.046,0.044,0.046,55000
CG1,20200717,0.195,0.2,0.195,0.2,25925
CGA,20200717,0.28,0.28,0.28,0.28,51800
CGB,20200717,0.005,0.005,0.005,0.005,3230000
CGC,20200717,2.96,2.97,2.92,2.94,1134527
CGF,20200717,4.5,4.54,4.44,4.49,1301262
CGFPA,20200717,98.65,98.65,98.25,98.4,4983
CGFPB,20200717,100.01,100.68,99.98,100,2696
CGL,20200717,3.11,3.14,3.07,3.1,63339
CGM,20200717,0.001,0.001,0.001,0.001,0
CGN,20200717,0.008,0.008,0.008,0.008,0
CGO,20200717,0.11,0.11,0.11,0.11,18000
CGR,20200717,0.3,0.3,0.295,0.3,133160
CGS,20200717,0.4,0.4,0.4,0.4,0
CHC,20200717,9.86,9.87,9.64,9.82,1330449
CHK,20200717,0.01,0.01,0.01,0.01,4307456
CHKOA,20200717,0.006,0.006,0.006,0.006,1775000
CHN,20200717,1.1,1.115,1.055,1.055,1292475
CHZ,20200717,0.105,0.105,0.1,0.1,1334983
CI1,20200717,0.027,0.027,0.026,0.027,798150
CIA,20200717,2.92,2.95,2.83,2.88,440787
CIE,20200717,0.64,0.64,0.64,0.64,0
CII,20200717,0.855,0.855,0.855,0.855,0
